formula,enthalpy,density,enthalpy2
In10.5Sn19Bi53.5Pb17,16.91,9.159,154.87869
Sn22Bi50Pb28,18.664,9.437,176.132168
Bi33.7In66.3,20.4,7.99,162.996
Bi0.405Sn0.285Pb0.163In0.147,21.71,9.11,197.7781
Bi0.218In0.782,22.46,7.99,179.4554
Sn16Bi52Pb32,23.398,9.566,223.825268
Bi49In21Pb18Sn12,23.4,9.307,217.7838
In51.34Sn5.56Bi33.1,24.34,8.052,195.98568
Bi0.416Sn0.194Pb0.232Cd0.158,24.51,9.59,235.0509
Bi33In51Cd16,25,8.49,212.25
Sn15.5Bi52.5Pb32,25.264,9.714,245.414496
Bi0.385Sn0.222Pb0.253In0.14,25.36,9.4,238.384
Bi51.6Cd8.2Pb40.2,26.66,10.417,277.71722
In21Sn12Bi49Pb18,27.07,9.229,249.82903
Bi31.6In48.8Sn19.6,27.9,8.04,224.316
Bi32.5In51Sn16.5,27.9,7.9,220.41
In19.1Sn8.3Bi44.7Cd5.3Pb22.6,28.53,9.33,266.1849
Bi0.387Sn0.167Pb0.144In0.302,28.98,9,260.82
Bi0.468Pb0.288Sn0.244,28.99,9.7,281.203
Bi49In21Pb18Sn12,29,9.37,271.73
Bi52Pb26In22,29,9.72,281.88
Bi0.23In0.582Sn0.188,29.88,8.02,239.6376
Sn13.3Bi50Cd10Pb26.7,30.35,9.582,290.8137
Bi0.355In0.645,30.82,8.37,257.9634
In25.2Sn17.3Bi57.5,32.47,8.696,282.35912
Bi52Pb30Sn18,34.7,9.6,333.12
Bi45Pb23In19Sn8Cd5,36.8,9.18,337.824
Bi44.7Pb22.6In19.1Sn8.3Cd5.3,36.8,9.16,337.088
Bi0.425In0.352Sn0.223,36.91,8.54,315.2114
Bi54In29.7Sn16.3,38,8.47,321.86
Bi44.39Pb27.38Sn14.22Cd14.01,38.64,9.78,377.8992
Bi50Pb26.7Sn13.3Cd10,39.8,9.58,381.284
Bi50Pb26.7Sn13.3Cd10,40,9.6,384
In4Sn40Bi56,40.44,8.525,344.751
Sn51.2Cd30.6Pb18.2,40.6,8.12,329.672
Bi0.355Sn0.601Zn0.044,44.1,8.282,365.2362
Bi58Sn42,44.8,8.56,383.488
Sn26Bi53Cd21,49.31,8.773,432.59663
Bi,53.3,9.75,519.675
Ga67In20.5Sn12.5,67.2,6.17,414.624
Ga0.735In0.154Sn0.111,69.03,6.37,439.7211
Ga78.55In21.45,69.7,6.197,431.9309
Ga0.784In0.149Sn0.067,71.2,6.29,447.848
Ga0.835In0.165,71.68,6.2,444.416
Ga74Sn22Cd4,75.2,5.983,449.9216
Ga86.5Sn13.5,78,6.16,480.48
Ga0.916Sn0.084,78.29,6.07,475.2203
Ga0.95Sn0.05,79.22,6,475.32
Ga,81.12,5.91,479.4192
Ga0.979Al0.021,82.59,5.85,483.1515
Ga93Zn5Cd2,85.03,6.02,511.8806
Ga82Sn12Zn6,86.5,5.961,515.6265
Ga96.5Zn3.5,88.5,5.946,526.221
,,,
,,,
