formula,melting_point
Sn0.130In0.250Ga0.610,6.5
Ga61In25Sn13Zn1,7.6
Ga68.5In21.5Sn10,10
Sn0.100In0.215Ga0.685,10
Ga68In20Sn12,10.5
Sn0.120In0.200Ga0.68,10.5
Ga67In20.5Sn12.5,10.7
Sn0.107In0.196Ga0.696,10.77
GaIn0.154Sn0.111,10.8
Sn0.160In0.215Ga0.625,11
Ga0.784In0.149Sn0.067,11.1
Sn0.125In0.202Ga0.673,11.37
Sn0.078In0.210Ga0.712,11.78
Ga86Sn11Zn3,14.9
Ga0.835In0.165,15.2
Ga75.5In24.5,15.5
Ga78In22,15.5
Ga78.55In21.45,15.7
Ga82Sn12Zn6,18.8
Ga86.5Sn13.5,20
Ga74Sn22Cd4,20.2
Ga86.5Sn13.5,20.5
Ga93Zn5Cd2,24.6
Ga96.5Zn3.5,25
Ga0.979Al0.021,26.7
Ga,29.76
Ag0.01Ga0.99,29.8
Pb0.01Ga0.99,29.8
Ag0.005Bi0.005Ga0.99,29.8
Ga80Sn20,39
Bi44.7Pb22.6In19.1Sn8.3Cd5.3,47
Bi45Pb23In19Sn8Cd5,47.2
Bi0.355In0.645,54.3
Bi49In21Pb18Sn12,58
Bi49In21Pb18Sn12,58.2
Bi0.387Sn0.167Pb0.144In0.302,58.5
In21Sn12Bi49Pb18,59.73
Bi31.6In48.8Sn19.6,60.2
In51.34Sn5.56Bi33.1,60.42
Bi33In51Cd16,61
Bi0.23In0.582Sn0.188,61.6
Bi32.5In51Sn16.5,62
Bi32.5In51Sn16.5,62.5
Bi49In51,68.1
Bi44.39Pb27.38Sn14.22Cd14.01,69.59
Bi50Pb26.7Sn13.3Cd10,70
Bi50Pb26.7Sn13.3Cd10,70
Bi52Pb26In22,70
Bi0.416Sn0.194Pb0.232Cd0.158,71.9
Bi33.7In66.3,72
Sn13.3Bi50Cd10Pb26.7,72.14
Bi0.218In0.782,73.3
Bi0.385Sn0.222Pb0.253In0.14,75.2
Bi0.405Sn0.285Pb0.163In0.147,75.9
In10.5Sn19Bi53.5Pb17,76.18
Bi0.425In0.352Sn0.223,79.4
In25.2Sn17.3Bi57.5,80.7
Bi54In29.7Sn16.3,81
SnBiInZn,82.9
Sn26Bi53Cd21,92.55
Bi51.6Cd8.2Pb40.2,92.97
Sn15.5Bi52.5Pb32,95
Bi0.468Pb0.288Sn0.244,95.1
Bi52Pb30Sn18,96
Sn22Bi50Pb28,97.06
Sn47Bi41In12,100
Sn50Bi38In12,100.4
In4Sn40Bi56,101.13
Sn41Bi47In12,103.3
Sn44Bi44In12,103.4
Sn38Bi50In12,103.5
Sn48In52,118
Sn37Bi58In5,119.2
Sn38Bi58In4,123.3
Sn39Bi58In3,124.5
Sn40Bi58In2,129.68
Sn40Bi58In2,130.2
Sn38Bi58In2Ag2,131.25
Sn59.9Bi40Cu0.1,132.2
Bi0.355Sn0.601Zn0.044,132.4
Sn41Bi58In1,134.1
Sn57.9Bi40Cu0.1Zn2,136.3
Sn58Bi40Zn2,137.01
Sn57.995Bi40Zn2Al0.005,137.27
Bi58Sn42,138
Sn41.7Bi58Ti0.3,138.48
Sn41.95Bi58Ti0.05,138.65
Sn41.8Bi58Ti0.2,138.68
Sn41.9Bi58Ti0.1,138.7
Sn64.7Bi35Ag0.3,138.8
Sn64Bi35Ag1,138.9
Sn41.5Bi58Ti0.5,138.98
Bi57Sn43,139
Sn40Bi58Ag2,139.06
Sn41Bi58Ti1,139.18
